Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
496.0,270.0,392.0,324.0,616.0,0.1,-0.98,-0.22,5.55,-4.76,2.99,-17.0,-5.0,7.0,8
495.0,270.0,394.0,325.0,617.0,0.12,-0.97,-0.24,6.41,-5.55,8.18,-15.0,-9.0,9.0,8
496.0,268.0,391.0,324.0,616.0,0.04,-0.96,-0.26,15.44,-28.32,2.08,-17.0,-7.0,9.0,8
496.0,270.0,393.0,324.0,617.0,0.07,-0.98,-0.24,1.77,9.95,9.09,-17.0,-12.0,11.0,8
495.0,269.0,392.0,323.0,614.0,0.21,-0.96,-0.24,3.17,20.26,9.4,-15.0,-8.0,7.0,8
496.0,269.0,394.0,326.0,615.0,0.15,-0.96,-0.23,-4.03,19.47,7.2,-17.0,-8.0,12.0,8
498.0,269.0,393.0,325.0,618.0,0.07,-1.02,-0.3,0.31,16.11,7.87,-15.0,-10.0,5.0,8
498.0,269.0,392.0,324.0,616.0,0.15,-1.02,-0.35,11.72,4.39,6.84,-17.0,-11.0,11.0,8
498.0,270.0,394.0,324.0,617.0,0.16,-0.97,-0.3,-6.1,15.75,3.66,-19.0,-11.0,6.0,8
496.0,270.0,395.0,325.0,616.0,0.18,-0.92,-0.26,0.12,14.59,0.43,-17.0,-11.0,8.0,8
498.0,269.0,394.0,326.0,617.0,0.14,-0.97,-0.27,10.13,12.57,-8.12,-18.0,-11.0,4.0,8
498.0,270.0,392.0,326.0,617.0,0.09,-1.06,-0.32,13.24,13.18,-3.91,-18.0,-11.0,9.0,8
497.0,270.0,393.0,325.0,614.0,0.07,-1.01,-0.25,-9.4,11.47,7.02,-16.0,-11.0,8.0,8
497.0,271.0,396.0,325.0,617.0,0.13,-1.01,-0.2,-8.06,11.29,6.29,-14.0,-11.0,15.0,8
499.0,271.0,394.0,325.0,616.0,0.13,-0.85,-0.16,-13.61,13.61,18.74,-18.0,-14.0,7.0,8
